ID,Photo,Name,Reference,Category,Base Price,Final Price,Quantity,Status
197,http://www.artesa-creations.com/img/p/7/2/7/727.jpg,Chèque Cadeau 20 €,KDO_20e,Nos Coffrets & Chèques cadeaux,20,20,80,1
196,http://www.artesa-creations.com/img/p/7/2/3/723.jpg,Chèque Cadeau 10 €,KDO_10e,Nos Coffrets & Chèques cadeaux,10,10,80,1
198,http://www.artesa-creations.com/img/p/7/2/8/728.jpg,Chèque Cadeau 30 €,KDO_30e,Nos Coffrets & Chèques cadeaux,30,30,20,1
199,http://www.artesa-creations.com/img/p/7/7/2/772.jpg,Chèque Cadeau 50 €,KDO_50e,Nos Coffrets & Chèques cadeaux,50,50,20,1
1499,http://www.artesa-creations.com/img/p/3/7/7/1/3771.jpg,Ballotins Dragées Jaune Citron,AC_BALcitron,Mariage,1.55,1.55,9,1
1497,http://www.artesa-creations.com/img/p/3/7/6/8/3768.jpg,Ballotins Dragées Rouge et Noir,AC_BALrougenoir,Mariage,1.55,1.55,9,1
1498,http://www.artesa-creations.com/img/p/3/7/7/0/3770.jpg,Ballotins Dragées Turquoise,AC_BALtur,Mariage,1.55,1.55,9,1
1444,http://www.artesa-creations.com/img/p/3/7/6/7/3767.jpg,Ballotins Dragées Chocolat Anis,AC_DRAGchocoAnis,Mariage,1.55,1.55,9,1
19,http://www.artesa-creations.com/img/p/2/0/8/208.jpg,Pochette Amandine,PO001,Sacs - Pochettes,12,12,7,1
932,http://www.artesa-creations.com/img/p/2/6/9/5/2695.jpg,Rond de Serviette Bordeaux et Or,CB_rondBOR,Chantal B,6.5,6.5,6,1
933,http://www.artesa-creations.com/img/p/2/6/9/7/2697.jpg,Rond de Serviette Chocolat et Cuivre,CB_rondChoc,Chantal B,6.5,6.5,6,1
974,http://www.artesa-creations.com/img/p/2/7/8/0/2780.jpg,Pic à chignon dentelle bleue - coiffure mariage,CM_PICdent,Mariage,12,12,6,1
1440,http://www.artesa-creations.com/img/p/3/6/5/8/3658.jpg,Collier Plumes d'Ange,ART_COLplume,Bijoux de créateurs,25.5,25.5,6,1
1075,http://www.artesa-creations.com/img/p/2/9/8/5/2985.jpg,Bracelet Rose Rouge et dentelle,CM_BRAbor,Accessoires de mode,6,6,6,1
1448,http://www.artesa-creations.com/img/p/3/6/7/0/3670.jpg,Pochette Cuir Rouge,UN_pochROUGE,Catégories,39.8,39.8,5,1
